no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
15,大数据分析师（初级）,明据,8-13K,1-3年,本科,上海·长宁区·仙霞,"数据分析,Linux,MySQL","['岗位职责：', '1.\t和客户沟通业务需求，理解和整理需求，并用数据分析手段解决客户业务痛点。', '2.\t打破信息孤岛利用各种数据源，在海量数据中寻找数据规律，在海量数据中发现数据异常。', '3.\t挖掘海量数据、机器学习等方法，构建用户画像、个性化推荐、工业场景预测、风险控制等；', '4.\t负责大数据数据分析和挖掘项目平台的设计、开发、优化，与工程团队合作，负责相关技术的产品化落地；', '5.\t根据项目设计开发数据模型、数据挖掘和处理算法，通过数据探索和模型的输出进行分析，给出分析结果。', '6.\t为客户提供相关的技术培训；用户分析、理解及建模，持续提升用户产品体验；', '任职要求：', '1.\t国内外知名大学本科以上毕业，计算机、数学相关专业背景；', '2.\t具有2年以上丰富的数据分析与挖掘、算法、数据仓库建模的项目实践经验；', '3.\t熟悉主流统计分析软件（R语言），数据挖掘的常用算法，熟悉数据分析过程和业务问题解决', '4.\t熟悉LINUX系统、SQL数据库，对于掌握Java/Python其一更好。 ', '5.\t主动性强、学习能力强，易沟通，团队合作精神佳。', '6.\t接受出差。', '薪资：年薪10-40万']",上海长宁区嘉麒大厦1803B,https://www.zhipin.com/job_detail/38b56d0a1d4c80c41H173NS1EVc~.html?lid=Cv9DhAD8uL.search.195&securityId=XnX5dso8FWnUi-j15pxWT2eFunpEnN_ZVTcUqXFrk3q_MIPOn7mQYWELrQqfvJWbbheiNQQKLZ-8U8hz64IO3afv8UqK-PoWIIi30ZuGpg2DNx0~&sessionId=
16,医疗大数据研究员,工业互联网创新中心,12-24K·13薪,3-5年,硕士,上海·浦东新区·金桥,"医疗/大健康,一般行业研究,二者兼具,互联网企业内部行研经验,咨询/媒体行研经验,行业核心期刊发表过文章,擅长宏观经济/政策研究","['岗位职责：', '1、对医疗大数据市场的前瞻性研究，收集国家及地医疗大数据相关政府政策、行业动态、市场发展趋势等相关信息；', '2、根据公司战略规划和产业布局，进行医疗大数据业务开拓与项目挖掘，并跟进落地', '3、负责建立数据互联互通的生态，建立一个包括数据提供方，数据使用者和数据服务方的生态；', '4、掌握医疗大数据互联互通产业发展方向、规律及国家、省市相关政策，负责行业发展趋势研究等，并主导政府相关专项课题的申报工作；', '5、领导交代的其他工作', '岗位要求：', '1、生物信息学、统计学、计算机、数学、经济及相关专业硕士学历以上，博士优先。', '2、有2年以上相关经验，熟悉掌握隐私计算，算法、数据治理、大数据架构相关技术。', '3、较强业务开拓能力、分析和解决问题的能力，有较强的沟通和表达能力，形象气质佳。']",上海浦东新区工业互联网创新中心766号,https://www.zhipin.com/job_detail/f1edf5730c34e44f1Xx-2dS7FVZW.html?lid=Cv9DhAD8uL.search.196&securityId=EKJUI2pRklalj-i1ZGtIr7OCV_78-j_-bR-0B8MEM3dgq_ga21n-jmYrsRtJW8uTEAmk5wO2A_bVBqQ4UuHC3_U3rNJQEYibaL5TqYpu_AcymVQ~&sessionId=
17,大数据运维工程师,彦猫科技,12-15K·13薪,3-5年,本科,上海·浦东新区·张江,"系统运维,Python/Shell,Docker,Kubernetes","['：职位描述：', '1.上市公司驻场开发；', '2.负责本地化项目的运维实施工作；', '3.负责日常应用系统发布及大数据平台的稳定性保障工作；', '4.负责推进项目顺利进展并及时响应客户的需求。', '任职资格：', '1.计算机相关专业，本科及以上学历，3年及以上工作经验；', '2.非常熟悉linux系统，能够独立完成基础运维工作；', '3.具备良好地沟通与表达能力，逻辑思维能力强，良好的沟通能力与团队合作精神；', '4.熟练掌握shell，python等脚本语言者优先；', '5.熟悉微服务、k8s、docker，有运维自动化、监控系统等开发经验者优先；', '6.熟悉hadoop、cassandra、doris等大数据技术者优先。']",上海浦东新区丰动力F-Space联合办公2层,https://www.zhipin.com/job_detail/201c387d2f41aad51HR639y4E1JU.html?lid=Cv9DhAD8uL.search.197&securityId=og5noD_vodLnb-n1EUt6WcIDMx0HuZi3hbxdck-47PmFGFEmRRqPoLsF2sYTD9xmtBaJR4C54cPgoALy6XVUTXzviI0yEkPJTLPuGDHxrubjn5SekMw~&sessionId=
18,大数据运维工程师,欧普照明,14-28K·16薪,3-5年,本科,上海·闵行区·龙柏,"Linux,Hive,系统运维",,,https://www.zhipin.com/job_detail/c1677c7f3806058503d90tW_GVA~.html?lid=Cv9DhAD8uL.search.198&securityId=R5-RMKIOEvrnG-s1pf8wkf7va6CqDmr4tT2fWGaTDyljT3yRGTp7HZhhkTqoP9p_uob8Yj5EO1UowDUmVdzbBDrzh1sMqlfKwRxhjtJb3AnlRmY~&sessionId=
19,大数据测试工程师,百安居,15-20K·14薪,3-5年,本科,上海·浦东新区·世纪公园,sql、接口测试,,,https://www.zhipin.com/job_detail/9d70cbfac20584a91XJ_39m-GVdZ.html?lid=Cv9DhAD8uL.search.199&securityId=EbTQQMiQT2kJg-118o89Fn1ThD23O_zVwpcgGpeIAfa5mACFjDPQRWMzQyYBjSNoGap_NFMII6GQk37gdbuO4KFd3nKI00pvys9zd48cYeJHjy1e&sessionId=
20,大数据工程师,幂能科技,15-25K,5-10年,本科,上海·浦东新区·金桥,"SQL,Java,Spark,计算机相关专业,数仓建设经验,ETL开发经验",,,https://www.zhipin.com/job_detail/5c7825e3c07f6cb11XJz09u7EFpV.html?lid=Cv9DhAD8uL.search.200&securityId=8NuvoS-n2GXLU-C18ecPhqJpVVrKIeehR14aNoxOfiMKWbksu9aEhbpNg8ew-G7WXQ-U99rno0bDWBadJTcv9a1tPhGJPQRXOJCphGWah1BfTpu_&sessionId=
21,大数据工程师,银基安全,20-40K,3-5年,本科,上海,"数据仓库,Java,分布式技术,Hadoop,Spark,架构师,大数据",,,https://www.zhipin.com/job_detail/cf83566510e1f6c40nF_3NW4FlE~.html?lid=Cv9DhAD8uL.search.201&securityId=mvQBvtphOCgmJ-C1xhwCVVwPwE5DzKPxMTsUcLh9sY-com_VBAxpAMU7gl8EKxnCqu82Vfk7-mJvdeCRCFsbMwumPBKVCzjYB-kJjLuOQr9eVDwdl8LtLeIEE51bs2v9LSf7r65BIaNr2HugXA~~&sessionId=
22,大数据实习生,驰骛信息科技有限公司,170-180元/天,4天/周,6个月,上海·徐汇区·漕河泾,"国内院校优先,Spark,Python,SQL,数学/统计相关专业",,,https://www.zhipin.com/job_detail/363c2542ef74ef301HR_3t6-GFRQ.html?lid=Cv9DhAD8uL.search.202&securityId=sY-QcK2rZf28f-p16A2drhsSFELd4gsJJNxHxGj-eS8s3Wq-2ifl16N_iWzJl5tEdjt8jcvDzPDmbQX9aEDyRLmPQhTyTo_Ddm6GQPiZgcz_KymqZQ~~&sessionId=
23,大数据工程师,申万宏源,15-30K·18薪,3-5年,硕士,上海·静安区·南京西路,"Python,SQL,Spark,Hadoop",,,https://www.zhipin.com/job_detail/013752b6c7013b441Xd_3t65GVVW.html?lid=Cv9DhAD8uL.search.203&securityId=WSfC1CTyPtRh8-_19W3qnZJu4KLn2w6Qx72G8ypUU2Ndjvs90szJ3NBfh7RPO9P0Ftnawiqdn1UlRGk66AKy2DMrrUQB3QU_I6k3vqVFtNyumLcBEQ~~&sessionId=
24,大数据工程师,上海雷殷网络科技...,10-12K,经验不限,本科,上海·浦东新区·陆家嘴,"Python,计算机相关专业,大数据开发经验",,,https://www.zhipin.com/job_detail/0d20af90b8146ed91XNy3N24FlFQ.html?lid=Cv9DhAD8uL.search.204&securityId=0Y695YQVVLGLF-t1kMIIMY6dcTbCK25IghBoPYOatmTkR3w0Jcvsh5hY-o6y2ZT46pz4JK3gpcNfXyIPMExLO2QxM_aU-KhqQJwmvFD2svYzIkBsbhffMgayBrssG4QxKr0OTcCduKb0cdUsKHOKVcE~&sessionId=
25,大数据算法专家,尖刀视,30-35K,1-3年,本科,上海·闵行区·浦江,"人工智能,物联网,大数据,BI,云计算,视觉图像算法,深度学习算法,推荐算法",,,https://www.zhipin.com/job_detail/7023151e57a3e52c33F83ty0FVE~.html?lid=Cv9DhAD8uL.search.205&securityId=RWOp-gZbVGFz6-b1aHjR4fg_qAy7DC1OP76bV56pLejmTpmc4eLivyakXUCj7FkJhm39oX3Grz8_PyRS3bCP6qvcfAaTULfKupY4lgLxFQKRqltl&sessionId=
26,高级大数据工程师,祺梵,15-30K,5-10年,本科,上海·浦东新区·金桥,"Spark,Hive,Hbase,大数据处理经验,数仓建设经验,大数据平台架构经验","['1.负责大数据平台框架的研发设计工作，梳理可实现方案和技术规范；', '2.负责核心模块研发设计；负责hadoop以及flink大数据平台的搭建和升级，完成系统调试、集成与实施；', '3.精通Java/scala语言，具备性能调优、JVM参数优化、故障诊断能力；', '4.精通Hadoop架构与生态圈（如：HDFS、Hive、HBASE、Spark、Kafka、Flink,Doris等）具备安装，升级，定位并解决问题的能力；', '5.负责建立和维护大数据平台技术标准规范，审核开发代码保证代码质量；', '6.本科及以上学历，金融行业经验优先。']",上海浦东新区凯龙金领大厦8层8801室,https://www.zhipin.com/job_detail/dedaf8d5922aacbb1XF_29y9FFJY.html?lid=Cv9DhAD8uL.search.206&securityId=hsAGtT0QKaPDk-Q1eZE62sJwHKubIE_AN0Lny08BuTQTqJbyLllvaHLp0bWTf_TruzCvPKTvbhSI4mYdFFCs4FnIbIMeX0aJ7MT7dTAbzu3WhTN92Q~~&sessionId=
27,大数据项目经理,悦蓉餐饮,10-15K,3-5年,硕士,上海·浦东新区·张江,计算机相关专业,"['岗位职责：', '1.负责数字政务项目的交付管理，做为客户项目的***责任人，确保项目按期、保质的成功交付，涉及到项目团队管理、范围管理、计划管理、进度管理、风险管理、质量管理、成本管理等事项，并对项目经营结果负责；', '2.交付范围包含IDC、专线、云平台、虚拟化、IT管理系统、网络实施、计算、存储、网络、安全、大数据服务等各类设备及服务；', '3.交付过程中与客户间的***界面，有效管理项目干系人，合理引导并实现客户需求；', '4.定期组织交付团队梳理和总结项目进展与问题，协调资源、推动项目顺利进行，对项目过程中的问题进行有效地跟踪和管理，持续优化行业客户的交付和服务流程；', '5.制定并根据项目里程碑，及时输出项目相关的阶段性报告、验收报告等重点文档；', '6.持续提升客户服务、交付实施、项目经营、成本管理等各项能力，持续挖掘客户业务需求，促进新的商业合作机会。', '岗位要求：', '1)本科及以上学历，8年以上IT项目管理经验，熟悉IT项目运作模式。具有云计算厂商、头部系统集成商工作经验者优先，具备软件集成交付实施经验者优先；', '2)具有政务应用、网络、服务器、存储、虚拟化、云计算、容灾备份和信息安全等相关行业背景，在泛政务各垂直业务域（如政务、政法、交通、医疗、人社、教育、文旅等）拥有成功的项目交付经验；', '3)具备良好的项目管理、客户关系维护能力，和优秀的沟通技巧，能妥善协调好客户、合作伙伴、内部团队的合作关系；', '4)具备良好的学习能力和抗压能力，能并行支持多个项目的管理工作，能接受较高频次的出差及项目驻场服务；', '5)具备PMP证书、信息产业部系统集成项目经理证书者优先， 通过腾讯云从业资格证或同等资格认证者优先。']",上海浦东新区上海悦蓉餐饮有限公司,https://www.zhipin.com/job_detail/0a598144452779f31XN709S5E1pQ.html?lid=Cv9DhAD8uL.search.207&securityId=CCO7ANUNPKAFg-B1jVXHfF9aZL2EP6epHN3E66ONkhPztDwSwuM-qFVtnZUyD5VPR9vtYTWXTqFvPG2ikTQ-9dYNZWI3MkS6suNfKsneP-PVi1yz&sessionId=
28,大数据项目经理,迪颉信息科技,16-25K·13薪,3-5年,本科,上海·虹口区·四川北路,"计算机相关专业,大数据项目管理经验,实施交付经验,PMP","['我们是一家专业大数据公司，主要骨干来自业内前三的大数据、数据分析公司的资深骨干，公司提供良好的个人职业发展和有竞争力的薪酬待遇，征寻大数据行业长期发展的小伙伴：', '项目经理-岗位职责：', '1、按照公司项目管理规范，负责对项目立项、规划、调研、设计、编码、测试、部署实施、验收的进行全程管理；', '2、负责项目组成员的绩效考核及项目团队的建设；', '3、负责对项目的进度、质量、成本、风险、资源、内外沟通等进行管理和控制，使项目达到公司和客户的要求；', '4、能够灵活的处理项目中对客户的关系，协助商务做好客户关系管理；', '5、对软件项目过程中产生的与项目管理相关的文档有良好的书写能力；', '6、能够参与售前工作，负责项目各类文档的撰写。', '任职要求：', '1、计算机或相关专业，3年以上项目及团队管理经验；', '2、具有良好的项目规划、需求控制、进度控制、风险管理能力，良好的方案文档撰写能力，能够承担项目的需求分析、规划、设计工作；', '3、熟悉J2EE体系和Spring、Struts2、iBatis等流行开源框架或熟悉数据库或数仓；', '4、熟悉大数据生态圈技术如Hadoop/Spark/Hive/Flink，有CDH使用经验优先', '5、具有良好的语言表达能力和人际沟通技巧，具有比较强的人际敏感性；', '6、有良好的制造业项目实施经验，对制造业项目有比较成熟的管理思路；', '7、具备良好的分析和解决问题的能力、团队合作能力，并善于在压力之下有效的工作；', '8、具备良好的工作积极性、责任心；', '9、有IT项目管理专业培训经历、信息系统项目管理师或PMP资格证书者优先，熟悉数据中台优先。']",上海虹口区森林湾大厦469号,https://www.zhipin.com/job_detail/9c63bd11b97af6071XJ72t-4ElBU.html?lid=Cv9DhAD8uL.search.208&securityId=0lhSbvoSClmXX-p1_vD8VHKgY2gTX02krptCUqKfz8iCovU15_luOiIlGDg0jGrG4lH3U12db0c9v_QXcL6ePKma0BktUFWwhDU7UazI0Q8U4Hovvg~~&sessionId=
29,大数据资深工程师,澳福派信息,30-50K,3-5年,本科,上海·黄浦区·城隍庙,"数据开发,数据架构师,ETL,数据仓库,Spark,Kafka,Elasticsearch,Hive","['我们是谁？', 'Afterpay世界领先的分期付款支付提供商。通过契合消费者的付款需求，将传统的全款支付方式转换为允许消费者先获得商品并在短时间内分四次付款的方式，从而收到消费者特别是年轻一族的付款喜爱。', '目前，全球已有超过55,400多家行业领先的零售商为他们的消费者提供Afterpay的分期付款服务，Afterpay的全球活跃消费者人数已经接近1000万，目前已在澳大利亚，新西兰，美国和英国（Clearpay）市场上被广为采纳。 Afterpay的使命是成为世界上最受欢迎的付款方式，为此公司也在不断改进产品与技术，从而更好得为消费者和零售商服务。Aftepray发展迅速，因此我们真诚得邀请喜欢挑战，希望能和公司一起实现梦想的优秀人才加入我们这支高效的团队，一起共创未来。', '岗位职责', ' - 负责Afterpay数据架构的建设, 通过数据+算法+工程化能力，处理和萃取 - 数据特征以及上层的数据运营、数据决策的体系建设；', ' - 团队合作，深入了解业务需求，开发交付数据特征;', ' - 持续优化数据特征萃取技术方案，改进产品性能；', ' - 参与大数据基础架构、产品技术的规划建设', '职位要求', ' - 计算机相关专业本科或以上学位；', ' - 擅长大数据开发相关技术, 如Flink、Spark、Kafka等 ；', ' - 3年及以上大数据研发经验，具有扎实的代码功底和实战能力；', ' - 较为丰富的数据平台的架构经验，精通数据建模理念和实战能力；', ' - 较为系统的海量数据性能处理经验，在数据产品和应用一定的成功经验；', ' - 良好的编程风格，扎实的编程基础和数据结构算法基础；', ' - 良好的分析问题和解决问题的能力，勇于面对挑战；', ' - 良好的团队合作精神、积极主动的沟通意识、良好的沟通能力；', ' - 熟练使用英语进行书面和口语的交流', '加分项', ' - 熟悉amazon aws, 包括但不限于s3, emr等技术优先；', ' - 具备关系数据库经验者优先，例如Redshift, MySQL等；', ' - 具有金融，互联网行业项目经验者优先', '股权奖励，工资面议']",上海黄浦区永银大厦五楼,https://www.zhipin.com/job_detail/761c7447a4f654f833xy39u_EVM~.html?lid=Cv9DhAD8uL.search.209&securityId=KA7ED1BDFEHVY-I1LVXY7H5lCFU2B_1YoqjKxxnm4S7ycK0Z2p7ji8diWvCa0bnEeDFi1_pvkOhOymh2wJUq8tpbHsjcNiDi_mrVpqQZPvMhYBG4hg~~&sessionId=
30,大数据项目经理,上海锐英科技,11-20K,5-10年,本科,上海·虹口区·北外滩,"计算机相关专业,管理相关专业,大数据项目管理经验","['岗位要求：', '1、8年以上政府信息化或大数据项目建设经验，5年以上大型项目团队管理经验，具备系统架构设计、业务分析能力，35-40岁，有公安行业经验优先，985/211优先。', '2、具有丰富的文档编写经验的优先，包括但不限于需求文档、技术方案、招投标文件等；能熟练使用project/axure/xmind/visio/word/excel/ppt等；', '3、具备较强的沟通能力，清晰的逻辑思维，能够经常主动思考并得出结论；', '4、能够接受因工作所需的出差、加班安排，有良好的职业素养，爱岗敬业，责任心强；', '5、有参与CMMI认证经验的，有开发经验或项目经理证书、PMP证书优先', '工作职责：', '1、全面负责项目管理工作，如沟通需求、确定方案、项目立项、项目计划、详细设计、交付验收；', '2、把握客户需求，参与项目需求调研、需求分析，解决项目中的各种难点，合理安排资源及风险管控；', '3、制定项目实施方案，对项目实施的进度进行跟踪，对项目实施过程中的反馈问题进行处理并评审，定期发布项目报告；', '4、确保项目开发进度和质量，推进项目验收和上线使用；', '5、负责项目团队成员管理工作.']",上海虹口区国投集团上海新办公楼杨树浦路168号,https://www.zhipin.com/job_detail/b3ceb98d1396dcdb1XN-2dW7FFNQ.html?lid=Cv9DhAD8uL.search.210&securityId=XFfR4QZoTDKU3-D1VG2f0wrxIEvjcqPE50XVbR25U9SwL6xUKYgwqsapOszlmW9pyp5wWbgRTR9oRzbJG-XI2NL3FeW12F0FbKI370H37ZFrFRVqjvXUY0BU6xSQr72mw9tUP9z-pMaK8R6LSbuz-N1J&sessionId=
1,大数据项目经理,迪颉信息科技,16-25K·13薪,3-5年,本科,上海·虹口区·四川北路,"计算机相关专业,大数据项目管理经验,实施交付经验,PMP","['我们是一家专业大数据公司，主要骨干来自业内前三的大数据、数据分析公司的资深骨干，公司提供良好的个人职业发展和有竞争力的薪酬待遇，征寻大数据行业长期发展的小伙伴：', '项目经理-岗位职责：', '1、按照公司项目管理规范，负责对项目立项、规划、调研、设计、编码、测试、部署实施、验收的进行全程管理；', '2、负责项目组成员的绩效考核及项目团队的建设；', '3、负责对项目的进度、质量、成本、风险、资源、内外沟通等进行管理和控制，使项目达到公司和客户的要求；', '4、能够灵活的处理项目中对客户的关系，协助商务做好客户关系管理；', '5、对软件项目过程中产生的与项目管理相关的文档有良好的书写能力；', '6、能够参与售前工作，负责项目各类文档的撰写。', '任职要求：', '1、计算机或相关专业，3年以上项目及团队管理经验；', '2、具有良好的项目规划、需求控制、进度控制、风险管理能力，良好的方案文档撰写能力，能够承担项目的需求分析、规划、设计工作；', '3、熟悉J2EE体系和Spring、Struts2、iBatis等流行开源框架或熟悉数据库或数仓；', '4、熟悉大数据生态圈技术如Hadoop/Spark/Hive/Flink，有CDH使用经验优先', '5、具有良好的语言表达能力和人际沟通技巧，具有比较强的人际敏感性；', '6、有良好的制造业项目实施经验，对制造业项目有比较成熟的管理思路；', '7、具备良好的分析和解决问题的能力、团队合作能力，并善于在压力之下有效的工作；', '8、具备良好的工作积极性、责任心；', '9、有IT项目管理专业培训经历、信息系统项目管理师或PMP资格证书者优先，熟悉数据中台优先。']",上海虹口区森林湾大厦469号,https://www.zhipin.com/job_detail/9c63bd11b97af6071XJ72t-4ElBU.html?lid=CQ1tC0C85r.search.211&securityId=ofLafwjxAvWbx-x1kLBEnk_rgwGKz0WxUe31m8LyfIPx9zBs8AMdbgFDF2YRb2jOEHduXfgh6CVNoRm_PMF6P80DfU3xqP4U2uNUiku1tWGlQ41G1Q~~&sessionId=
2,大数据资深工程师,澳福派信息,30-50K,3-5年,本科,上海·黄浦区·城隍庙,"数据开发,数据架构师,ETL,数据仓库,Spark,Kafka,Elasticsearch,Hive","['我们是谁？', 'Afterpay世界领先的分期付款支付提供商。通过契合消费者的付款需求，将传统的全款支付方式转换为允许消费者先获得商品并在短时间内分四次付款的方式，从而收到消费者特别是年轻一族的付款喜爱。', '目前，全球已有超过55,400多家行业领先的零售商为他们的消费者提供Afterpay的分期付款服务，Afterpay的全球活跃消费者人数已经接近1000万，目前已在澳大利亚，新西兰，美国和英国（Clearpay）市场上被广为采纳。 Afterpay的使命是成为世界上最受欢迎的付款方式，为此公司也在不断改进产品与技术，从而更好得为消费者和零售商服务。Aftepray发展迅速，因此我们真诚得邀请喜欢挑战，希望能和公司一起实现梦想的优秀人才加入我们这支高效的团队，一起共创未来。', '岗位职责', ' - 负责Afterpay数据架构的建设, 通过数据+算法+工程化能力，处理和萃取 - 数据特征以及上层的数据运营、数据决策的体系建设；', ' - 团队合作，深入了解业务需求，开发交付数据特征;', ' - 持续优化数据特征萃取技术方案，改进产品性能；', ' - 参与大数据基础架构、产品技术的规划建设', '职位要求', ' - 计算机相关专业本科或以上学位；', ' - 擅长大数据开发相关技术, 如Flink、Spark、Kafka等 ；', ' - 3年及以上大数据研发经验，具有扎实的代码功底和实战能力；', ' - 较为丰富的数据平台的架构经验，精通数据建模理念和实战能力；', ' - 较为系统的海量数据性能处理经验，在数据产品和应用一定的成功经验；', ' - 良好的编程风格，扎实的编程基础和数据结构算法基础；', ' - 良好的分析问题和解决问题的能力，勇于面对挑战；', ' - 良好的团队合作精神、积极主动的沟通意识、良好的沟通能力；', ' - 熟练使用英语进行书面和口语的交流', '加分项', ' - 熟悉amazon aws, 包括但不限于s3, emr等技术优先；', ' - 具备关系数据库经验者优先，例如Redshift, MySQL等；', ' - 具有金融，互联网行业项目经验者优先', '股权奖励，工资面议']",上海黄浦区永银大厦五楼,https://www.zhipin.com/job_detail/761c7447a4f654f833xy39u_EVM~.html?lid=CQ1tC0C85r.search.212&securityId=e14pgj_2k3X7E-s1mA5SlJPyvFiFJvKkbN5-f1k9phZu2ZXCXipLfskXm4IGJ3aIfdNIZlfihkHYU4WDOHfKFcnjaPL5MxgzR5nEjyGF4rZS5Jq7_g~~&sessionId=
3,大数据项目经理,上海锐英科技,11-20K,5-10年,本科,上海·虹口区·北外滩,"计算机相关专业,管理相关专业,大数据项目管理经验","['岗位要求：', '1、8年以上政府信息化或大数据项目建设经验，5年以上大型项目团队管理经验，具备系统架构设计、业务分析能力，35-40岁，有公安行业经验优先，985/211优先。', '2、具有丰富的文档编写经验的优先，包括但不限于需求文档、技术方案、招投标文件等；能熟练使用project/axure/xmind/visio/word/excel/ppt等；', '3、具备较强的沟通能力，清晰的逻辑思维，能够经常主动思考并得出结论；', '4、能够接受因工作所需的出差、加班安排，有良好的职业素养，爱岗敬业，责任心强；', '5、有参与CMMI认证经验的，有开发经验或项目经理证书、PMP证书优先', '工作职责：', '1、全面负责项目管理工作，如沟通需求、确定方案、项目立项、项目计划、详细设计、交付验收；', '2、把握客户需求，参与项目需求调研、需求分析，解决项目中的各种难点，合理安排资源及风险管控；', '3、制定项目实施方案，对项目实施的进度进行跟踪，对项目实施过程中的反馈问题进行处理并评审，定期发布项目报告；', '4、确保项目开发进度和质量，推进项目验收和上线使用；', '5、负责项目团队成员管理工作.']",上海虹口区国投集团上海新办公楼杨树浦路168号,https://www.zhipin.com/job_detail/b3ceb98d1396dcdb1XN-2dW7FFNQ.html?lid=CQ1tC0C85r.search.213&securityId=jyisZlQDMBKG--o1fXgsZRzL6v48lpYqhVEbDZpKn3hPGb9q-fFeCdsH00RGvYHHEhX0rpqutKaKGTCmX8PPkTEb4NqprEdBimHOM2so4YYhwPoRjrTp&sessionId=
4,大数据分析师,百联全渠道,15-25K·13薪,5-10年,本科,上海·黄浦区·外滩,SQL,"['岗位职责', '1. 基于对业务的深入了解，为业务运营人员提供数据支持，及时响应业务需求；', '2. 构建并维护全面、准确、反映业务特征的指标体系，并基于日常指标监控，推动业务部门的数据化运营；', '3. 提炼业务诉求，基于BI平台设计并开发报表体系，通过数据可视化，帮忙业务更直观清晰的挖掘数据背后的信息，辅助业务决策；', '4. 基于业务理解或者从数据分析中发现新的应用场景和创新点，进而与相关团队协作并推动数据产品的规划、设计和落地。', '技能要求：', '1.全日制大学本科以上学历，5年以上工作经验。', '2. SQL功底比较扎实，熟悉Vertica、Hive等平台的SQL语法特点，在合理的实现数据加工的同时能够有意识的提高脚本的性能；', '3. 能够快速理解公司的业务，并能够梳理业务逻辑相对应的底层数据逻辑；', '4. 能够及时、准确的响应业务部门的数据需求和报表开发需求；在符合规范的前提下满足业务诉求；', '5. 熟练掌握Excel和至少一种数据可视化工具（熟悉帆软BI者优先）；具有良好的数据思维，具有良好的报告撰写能力，擅长PPT；', '6. 良好的沟通表达能力，思路比较清晰；具有良好的产品意识。']",上海黄浦区百联全渠道电子商务有限公司26号,https://www.zhipin.com/job_detail/3fc99f80a530cbc81XF63du6EFFY.html?lid=CQ1tC0C85r.search.214&securityId=p3nXGX0wrpxdj-w1NLflHNWQbRAkBzxrR0P8W3wHOejqJIPd9wjuRPMdo5WY0eAeadfkZq8dogjYa6jXGRlxSI-hliGb3RnlxIrS1lOsY-JL5shD&sessionId=
5,大数据分析师,数智世界工业科技,10-13K,3-5年,本科,上海·浦东新区·三林,数据分析/挖掘经验,"['1、负责公司内各园区相关业务数据提取、加工清洗、数据分析及优化方案等工作；', '2、与园区各部门充分沟通，对数据服务场景进行梳理，确认每个部门所需的数据要求，关注的数据信息，并形成部门数据目标；', '3、结合纺纱设备的工艺性能、生产过程、质量检验、人员环境等现场情况，通过数据分析影响质量、产量、能耗、成本等的因素；获取数据情报，进行数据预测、成本控制等；', '4、能够站在数据分析及业务运营角度，引导并帮助团队拆解并定位问题，明确需求，通过对数据分析需求的准确理解及把握，为业务提供数据决策和策略支持；', '5、从多角度搭建数据分析模型，完成数据准备到模型实现和分析报告的一整套流程，开展端到端的数据管理和分析；', '6、有效地向团队呈现数据分析报告、结果和解决方案，推动业务优化及方案落地，及时发现和分析其中隐含的变化和问题，为业务发展提供决策支持。', '要求：', '1、 本科以上学历，统计学、数学、计算机、大数据管理与应用等专业优先；熟悉ERP、MES系统平台，具有2年以上数据分析工作经验，能适应驻外出差工作；', '2、 熟悉数据仓库，掌握数据分析、数据挖掘方法、数据处理能力，熟练使用Excel、SQL、Python、SPSS、R等工具进行数据整理和分析；', '3、 了解掌握重要数据信息并建立数据库、分析模型和分析报告，包括报表设计、数据建模等；掌握并具有构建公司数据分析平台，支撐业务专题分析能力；', '4、 具有分析师的分析流程、思维、技能、展示说服能力；具备较强沟通、吃苦抗压和学习能力，对数据有好奇心，有热情；', '5、逻辑思维清晰，善于发现问题，有团队合作精神，具备良好的文字表达和书写能力。']",上海浦东新区前滩企业天地三期B座1001,https://www.zhipin.com/job_detail/7c7b5f44695f81e51XF739y5FVFS.html?lid=CQ1tC0C85r.search.215&securityId=RrGTUP0zPvXKi-b1dPMJLuy9FPekPqJkvjeMC9KVNowmV9601u2NgYWUT9r_41bZT06OyBqrA2kT11R8gw64dt4unhGNj71lkfbjZu9ZtCT-nkVZwxc~&sessionId=
